order_id,customer_id,product_name,item_price,quantity,order_date
ORD-20260717-1009,CUST-71908,USB-C Hub,32.27,5,2026-07-17 03:28:59
ORD-20260717-1007,CUST-27063,Wireless Mouse,24.31,4,2026-07-17 05:42:18
ORD-20260717-1008,CUST-96347,Dual Monitor Stand,65.31,4,2026-07-17 20:06:27
ORD-20260717-BADPRICE,CUST-77777,Mechanical Keyboard,-10.0,1,2026-07-17 12:10:00
ORD-20260717-1005,CUST-20116,Dual Monitor Stand,64.62,4,2026-07-17 12:42:25
ORD-20260717-BADVALDATE,CUST-55555,Ergonomic Office Chair,249.5,1,INVALID_DATE_STRING
ORD-20260717-1000,CUST-25120,Mechanical Keyboard,87.97,5,2026-07-17 08:12:36
ORD-20260717-BADQTY,CUST-66666,Dual Monitor Stand,59.99,0,2026-07-17 12:15:00
ORD-20260717-1001,CUST-39891,Noise Cancelling Headphones,192.49,4,2026-07-17 16:25:44
ORD-20260717-1002,CUST-52594,USB-C Hub,32.7,1,2026-07-17 23:46:07
ORD-20260717-1004,CUST-51132,Noise Cancelling Headphones,188.39,3,2026-07-17 12:48:12
,CUST-99999,USB-C Hub,35.0,1,2026-07-17 12:00:00
ORD-20260717-1006,CUST-59398,USB-C Hub,36.31,2,2026-07-17 22:41:56
ORD-20260717-1003,CUST-30269,Noise Cancelling Headphones,219.62,4,2026-07-17 07:08:49
ORD-20260717-1000,CUST-88888,Wireless Mouse,25.5,2,2026-07-17 12:05:00
