order_id,customer_id,product_name,item_price,quantity,order_date
ORD-20260719-BADQTY,CUST-66666,Dual Monitor Stand,59.99,0,2026-07-19 12:15:00
ORD-20260719-1001,CUST-17230,Noise Cancelling Headphones,193.13,4,2026-07-19 18:24:19
ORD-20260719-1007,CUST-58839,Mechanical Keyboard,84.57,1,2026-07-19 05:58:19
,CUST-99999,USB-C Hub,35.0,1,2026-07-19 12:00:00
ORD-20260719-BADPRICE,CUST-77777,Mechanical Keyboard,-10.0,1,2026-07-19 12:10:00
ORD-20260719-1000,CUST-45411,Dual Monitor Stand,55.6,1,2026-07-19 07:54:35
ORD-20260719-1003,CUST-63615,Mechanical Keyboard,81.9,2,2026-07-19 03:59:08
ORD-20260719-1006,CUST-92611,Wireless Mouse,23.88,2,2026-07-19 23:06:57
ORD-20260719-1004,CUST-15027,Wireless Mouse,24.28,3,2026-07-19 19:12:31
ORD-20260719-1002,CUST-18303,Wireless Mouse,23.24,3,2026-07-19 08:26:09
ORD-20260719-1005,CUST-72842,Dual Monitor Stand,55.03,4,2026-07-19 08:19:53
ORD-20260719-BADVALDATE,CUST-55555,Ergonomic Office Chair,249.5,1,INVALID_DATE_STRING
ORD-20260719-1000,CUST-88888,Wireless Mouse,25.5,2,2026-07-19 12:05:00
ORD-20260719-1008,CUST-82434,Mechanical Keyboard,83.78,5,2026-07-19 01:18:17
ORD-20260719-1009,CUST-63868,Dual Monitor Stand,63.3,5,2026-07-19 13:42:32
