order_id,customer_id,product_name,item_price,quantity,order_date
ORD-20260718-1006,CUST-40659,Wireless Mouse,24.63,2,2026-07-18 15:33:13
ORD-20260718-1003,CUST-99187,Dual Monitor Stand,60.71,1,2026-07-18 14:56:29
ORD-20260718-1000,CUST-68115,Dual Monitor Stand,62.06,5,2026-07-18 14:13:00
ORD-20260718-1004,CUST-41988,Noise Cancelling Headphones,186.41,3,2026-07-18 15:49:56
,CUST-99999,USB-C Hub,35.0,1,2026-07-18 12:00:00
ORD-20260718-1008,CUST-16657,Mechanical Keyboard,87.84,3,2026-07-18 07:59:32
ORD-20260718-1007,CUST-53735,Dual Monitor Stand,65.48,1,2026-07-18 08:06:25
ORD-20260718-1005,CUST-40953,Mechanical Keyboard,85.71,4,2026-07-18 22:52:49
ORD-20260718-BADVALDATE,CUST-55555,Ergonomic Office Chair,249.5,1,INVALID_DATE_STRING
ORD-20260718-1009,CUST-88219,Wireless Mouse,25.34,4,2026-07-18 01:30:25
ORD-20260718-BADPRICE,CUST-77777,Mechanical Keyboard,-10.0,1,2026-07-18 12:10:00
ORD-20260718-BADQTY,CUST-66666,Dual Monitor Stand,59.99,0,2026-07-18 12:15:00
ORD-20260718-1001,CUST-74142,USB-C Hub,32.73,3,2026-07-18 16:57:04
ORD-20260718-1002,CUST-44508,USB-C Hub,35.68,3,2026-07-18 10:57:33
ORD-20260718-1000,CUST-88888,Wireless Mouse,25.5,2,2026-07-18 12:05:00
