order_id,customer_id,product_name,item_price,quantity,order_date
ORD-20260721-1001,CUST-16678,Ergonomic Office Chair,235.77,4,2026-07-21 12:33:16
ORD-20260721-1005,CUST-75667,Mechanical Keyboard,87.21,3,2026-07-21 17:55:51
,CUST-99999,USB-C Hub,35.0,1,2026-07-21 12:00:00
ORD-20260721-1008,CUST-86040,Ergonomic Office Chair,232.84,5,2026-07-21 05:44:09
ORD-20260721-BADVALDATE,CUST-55555,Ergonomic Office Chair,249.5,1,INVALID_DATE_STRING
ORD-20260721-1003,CUST-14705,Noise Cancelling Headphones,201.07,2,2026-07-21 04:52:22
ORD-20260721-BADPRICE,CUST-77777,Mechanical Keyboard,-10.0,1,2026-07-21 12:10:00
ORD-20260721-1006,CUST-50036,Noise Cancelling Headphones,204.35,1,2026-07-21 01:24:22
ORD-20260721-1002,CUST-43266,Dual Monitor Stand,57.51,2,2026-07-21 16:19:27
ORD-20260721-1004,CUST-74726,Mechanical Keyboard,83.65,5,2026-07-21 14:49:41
ORD-20260721-BADQTY,CUST-66666,Dual Monitor Stand,59.99,0,2026-07-21 12:15:00
ORD-20260721-1000,CUST-88888,Wireless Mouse,25.5,2,2026-07-21 12:05:00
ORD-20260721-1007,CUST-49320,Noise Cancelling Headphones,204.82,5,2026-07-21 03:24:54
ORD-20260721-1000,CUST-60478,Ergonomic Office Chair,268.74,5,2026-07-21 12:59:41
ORD-20260721-1009,CUST-48058,Ergonomic Office Chair,264.15,5,2026-07-21 03:31:20
